Quantity, Name, CardNumber, Expansion Code, Expansion Name, PurchasePrice, Foil, Condition, Language, PurchaseDate, Single Current Price, Total Current Price
1,"Acrobatic Leap",2,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Adaptive Gemguard",3,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Agatha's Champion",160,woe,Wilds of Eldraine,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Ancestors' Aid",132,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Ancestral Reminiscence",45,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Angel of Suffering",67,psnc,Streets of New Capenna Promos,8.0,false,NearMint,English,20240626,7.47,7.47
1,"Antagonize",100,snc,Streets of New Capenna,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Armory Mice",3,woe,Wilds of Eldraine,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Attended Socialite",133,snc,Streets of New Capenna,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Attentive Sunscribe",4,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
2,"Barrow Naughty",81,woe,Wilds of Eldraine,0.01,false,NearMint,English,20240626,0.01,0.02
1,"Battleflight Eagle",7,plst,The List,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Bellowing Bruiser // Beat a Path",121,woe,Wilds of Eldraine,0.01,false,NearMint,English,20240626,0.01,0.01
2,"Bespoke Battlegarb",122,woe,Wilds of Eldraine,0.01,false,NearMint,English,20240626,0.01,0.02
1,"Bestial Bloodline",162,woe,Wilds of Eldraine,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Bewitching Leechcraft",41,ltr,The Lord of the Rings: Tales of Middle-earth,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Big Score",155,otc,Outlaws of Thunder Junction Commander,0.75,false,NearMint,English,20240626,0.8,0.8
1,"Bill Ferny, Bree Swindler",42,ltr,The Lord of the Rings: Tales of Middle-earth,0.01,true,NearMint,English,20240626,0.01,0.01
1,"Bjorna, Nightfall Alchemist",2,slx,Universes Within,0.09,false,NearMint,English,20240626,0.1,0.1
1,"Body Dropper",168,snc,Streets of New Capenna,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Boon of Safety",4,snc,Streets of New Capenna,0.01,true,NearMint,English,20240626,0.02,0.02
1,"Botanical Plaza",350,snc,Streets of New Capenna,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Boundary Lands Ranger",123,woe,Wilds of Eldraine,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Braided Net",47,plci,The Lost Caverns of Ixalan Promos,0.0,true,NearMint,English,20240626,0.0,0.0
1,"Braided Quipu",47,plci,The Lost Caverns of Ixalan Promos,0.0,true,NearMint,English,20240626,0.0,0.0
1,"Bringer of the Last Gift",337,lci,The Lost Caverns of Ixalan,0.2,true,NearMint,English,20240626,0.21,0.21
1,"Brokers Veteran",36,snc,Streets of New Capenna,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Burning Sun Cavalry",138,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Cabaretti Charm",365,snc,Streets of New Capenna,0.0,false,NearMint,English,20240626,0.0,0.0
1,"Candy Trail",243,woe,Wilds of Eldraine,0.04,false,NearMint,English,20240626,0.05,0.05
1,"Caparocti Sunborn",226,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Captain Storm, Cosmium Raider",227,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
1,"Captivating Cave",268,lci,The Lost Caverns of Ixalan,0.01,false,NearMint,English,20240626,0.01,0.01
